TotalEarnings,Age,Gender,EconomicStatus,PartnersEconomicStatus,AgeBand,WorkingStatus,HighestEducationalLevel,EmploymentType,SocioEconomicGroup,AnnualNetHouseholdIncome,EmploymentStatus,PropertyType,TotalSavings,CreditCardDebt,LoanDebt,HousingCostMonthly,FinancialHealth,EconomicStat,PartnerEconomicStat,Occupation
38000,34,Male,2,2,31-35,Working Couple,HNC/HND (SVQ Level 4),6,Semi-skilled manual workers,£30001 - £40000,2,Buying with mortgage/loan,No savings,Yes,Yes,360,Get by alright,Full-Time,Full-Time,Semi-routine occupations
24000,50,Male,2,4,51-55,"Couple, one works",HNC/HND (SVQ Level 4),6,Skilled manual workers,£20001 - £25000,4,Buying with mortgage/loan,"Less than £1,000",No,No,350,Get by alright,Full-Time,Homemaker,Semi-routine occupations
21000,53,Male,2,3,51-55,Working Couple,Standard Grade (SVQ Level 1 and 2),6,Junior non-manual workers,£20001 - £25000,2,Rents (including rents paid by housing benefit),No savings,No,No,350,Get by alright,Full-Time,Part-Time,Semi-routine occupations
0,22,Male,10,NA,21-25,Non-Working Single,No Qualifications,9,Inadequately described and not stated,£10001 -£15000,10,Rents (including rents paid by housing benefit),"£1,000 or more",No,No,420,Don't manage very well,Disabled,NA,Not classified
0,36,Female,4,6,36-40,"Couple, neither work",No Qualifications,9,Inadequately described and not stated,£15001 - £20000,4,Rents (including rents paid by housing benefit),No savings,No,No,290,Get by alright,Homemaker,Unemployed,Not classified
47000,63,Female,2,1,61-65,Working Couple,Degree and Professional Qualifications (SVQ Level 4),2,Intermediate non-manual workers,£40001,2,Own it outright,"£1,000 or more",No,No,NA,Manage quite well,Full-Time,Self-Employed,Lower managerial and professional occupations
42000,54,Male,2,NA,51-55,Single Working Adult,Degree and Professional Qualifications (SVQ Level 4),2,Intermediate non-manual workers,£40001,2,Rents (including rents paid by housing benefit),"£1,000 or more",No,Yes,640,Manage very well,Full-Time,NA,Lower managerial and professional occupations
19000,49,Female,2,NA,46-50,Single Working Adult,NA,2,Employers and managers - small establishments,£20001 - £25000,2,Buying with mortgage/loan,"Less than £1,000",Yes,No,450,Get by alright,Full-Time,NA,Lower managerial and professional occupations
36000,59,Female,2,NA,56-60,Single Working Adult,Degree and Professional Qualifications (SVQ Level 4),2,Intermediate non-manual workers,£40001,2,Own it outright,"£1,000 or more",Yes,Yes,NA,Manage quite well,Full-Time,NA,Lower managerial and professional occupations
0,62,Male,6,NA,61-65,Non-Working Single,No Qualifications,9,Inadequately described and not stated,£0 - £6000,6,Rents (including rents paid by housing benefit),No savings,No,No,290,Don't manage very well,Unemployed,NA,Not classified
16000,53,Female,2,NA,51-55,Single Working Adult,Standard Grade (SVQ Level 1 and 2),5,Foremen and supervisors,£15001 - £20000,2,Rents (including rents paid by housing benefit),"£1,000 or more",No,No,360,Get by alright,Full-Time,NA,Lower supervisory and technical occupations
0,55,Male,10,NA,51-55,Non-Working Single,No Qualifications,9,Inadequately described and not stated,£6001 - £10000,10,Rents (including rents paid by housing benefit),No savings,No,No,330,Have some financial difficulties,Disabled,NA,Not classified
16000,61,Female,2,5,61-65,"Couple, one works",Degree and Professional Qualifications (SVQ Level 4),6,Semi-skilled manual workers,£30001 - £40000,5,Buying with mortgage/loan,"£1,000 or more",No,No,450,Manage quite well,Full-Time,Retired,Semi-routine occupations
24000,54,Male,2,NA,51-55,Single Working Adult,HNC/HND (SVQ Level 4),6,Junior non-manual workers,£20001 - £25000,2,Buying with mortgage/loan,"£1,000 or more",Yes,Yes,470,Manage quite well,Full-Time,NA,Semi-routine occupations
0,62,Female,5,NA,61-65,Non-Working Single,HNC/HND (SVQ Level 4),9,Inadequately described and not stated,£6001 - £10000,5,Rents (including rents paid by housing benefit),No savings,No,No,370,Manage quite well,Retired,NA,Not classified
62000,56,Male,2,2,56-60,Working Couple,Highers and A-Levels (SVQ Level 3),2,Intermediate non-manual workers,£40001,2,Buying with mortgage/loan,"£1,000 or more",No,No,600,Manage very well,Full-Time,Full-Time,Lower managerial and professional occupations
18000,63,Female,2,NA,61-65,Single Working Adult,Standard Grade (SVQ Level 1 and 2),3,Junior non-manual workers,£15001 - £20000,2,Own it outright,"£1,000 or more",Yes,No,NA,Get by alright,Full-Time,NA,Intermediate occupations
31000,34,Male,2,3,31-35,Working Couple,HNC/HND (SVQ Level 4),5,Skilled manual workers,£30001 - £40000,2,Buying with mortgage/loan,"£1,000 or more",Yes,Yes,500,Get by alright,Full-Time,Part-Time,Lower supervisory and technical occupations
11000,28,Male,3,NA,26-30,Single Working Adult,Highers and A-Levels (SVQ Level 3),7,Unskilled manual workers,£10001 -£15000,2,Rents (including rents paid by housing benefit),"Less than £1,000",No,No,400,Manage quite well,Part-Time,NA,Routine occupations
29000,31,Male,2,NA,31-35,Single Working Adult,No Qualifications,7,Unskilled manual workers,£25001 - £30000,2,Rents (including rents paid by housing benefit),No savings,No,No,380,Get by alright,Full-Time,NA,Routine occupations
55000,57,Male,2,2,56-60,Working Couple,NA,2,Intermediate non-manual workers,£40001,2,Own it outright,"£1,000 or more",No,No,NA,Manage quite well,Full-Time,Full-Time,Lower managerial and professional occupations
29000,27,Male,2,3,21-25,Working Couple,Highers and A-Levels (SVQ Level 3),2,Junior non-manual workers,£30001 - £40000,3,Rents (including rents paid by housing benefit),"Less than £1,000",Yes,Yes,350,Get by alright,Full-Time,Part-Time,Lower managerial and professional occupations
13000,36,Female,2,NA,36-40,Single Working Adult,Degree and Professional Qualifications (SVQ Level 4),5,Skilled manual workers,£20001 - £25000,2,Rents (including rents paid by housing benefit),No savings,No,No,480,Get by alright,Full-Time,NA,Lower supervisory and technical occupations
0,62,Male,6,NA,61-65,Non-Working Single,NA,9,Inadequately described and not stated,£10001 -£15000,6,Rents (including rents paid by housing benefit),"Less than £1,000",No,No,370,Get by alright,Unemployed,NA,Not classified
42000,53,Female,2,2,51-55,Working Couple,HNC/HND (SVQ Level 4),2,Employers and managers - small establishments,£40001,2,Own it outright,"£1,000 or more",No,No,NA,Manage very well,Full-Time,Full-Time,Lower managerial and professional occupations
0,49,Male,10,NA,46-50,Non-Working Single,No Qualifications,9,Inadequately described and not stated,£10001 -£15000,10,Rents (including rents paid by housing benefit),No savings,No,No,350,Get by alright,Disabled,NA,Not classified
40000,39,Female,2,2,36-40,Working Couple,NA,2,Intermediate non-manual workers,£40001,2,Rents (including rents paid by housing benefit),"£1,000 or more",No,No,400,Get by alright,Full-Time,Full-Time,Lower managerial and professional occupations
0,64,Male,10,NA,61-65,Non-Working Single,NA,9,Inadequately described and not stated,£15001 - £20000,10,Rents (including rents paid by housing benefit),"£1,000 or more",Yes,No,340,Get by alright,Disabled,NA,Not classified
14000,34,Female,1,NA,31-35,Single Working Adult,Degree and Professional Qualifications (SVQ Level 4),4,Own account workers (other than professional),£25001 - £30000,1,Buying with mortgage/loan,No savings,No,No,250,Get by alright,Self-Employed,NA,Small employers and own account workers
41000,46,Male,2,2,46-50,Working Couple,NA,2,Employers and managers - small establishments,£40001,2,Buying with mortgage/loan,"£1,000 or more",No,No,550,Manage quite well,Full-Time,Full-Time,Lower managerial and professional occupations
0,53,Female,11,NA,51-55,Non-Working Single,No Qualifications,7,Unskilled manual workers,£10001 -£15000,11,Buying with mortgage/loan,"Less than £1,000",No,No,430,Manage quite well,Short-Term_Disabled,NA,Routine occupations
22000,63,Male,3,3,61-65,Working Couple,Highers and A-Levels (SVQ Level 3),3,Junior non-manual workers,£30001 - £40000,3,Buying with mortgage/loan,"£1,000 or more",Yes,Yes,300,Manage quite well,Part-Time,Part-Time,Intermediate occupations
0,32,Female,6,6,31-35,"Couple, neither work",HNC/HND (SVQ Level 4),9,Inadequately described and not stated,£10001 -£15000,6,Rents (including rents paid by housing benefit),No savings,No,No,320,Don't manage very well,Unemployed,Unemployed,Not classified
35000,27,Female,2,2,31-35,Working Couple,HNC/HND (SVQ Level 4),2,Intermediate non-manual workers,£30001 - £40000,2,Rents (including rents paid by housing benefit),"Less than £1,000",Yes,No,590,Get by alright,Full-Time,Full-Time,Lower managerial and professional occupations
23000,40,Male,2,NA,36-40,Single Working Adult,Degree and Professional Qualifications (SVQ Level 4),2,Intermediate non-manual workers,£20001 - £25000,2,Buying with mortgage/loan,"Less than £1,000",No,No,500,Manage very well,Full-Time,NA,Lower managerial and professional occupations
45000,46,Male,2,3,51-55,Working Couple,No Qualifications,7,Skilled manual workers,£40001,3,Rents (including rents paid by housing benefit),No savings,No,No,430,Get by alright,Full-Time,Part-Time,Routine occupations
7000,42,Female,3,NA,41-45,Single Working Adult,Standard Grade (SVQ Level 1 and 2),7,Unskilled manual workers,£15001 - £20000,3,Rents (including rents paid by housing benefit),No savings,Yes,No,380,Have some financial difficulties,Part-Time,NA,Routine occupations
14000,38,Female,2,NA,36-40,Single Working Adult,Highers and A-Levels (SVQ Level 3),3,Junior non-manual workers,£25001 - £30000,2,Rents (including rents paid by housing benefit),"Less than £1,000",Yes,No,580,Get by alright,Full-Time,NA,Intermediate occupations
0,51,Female,10,NA,51-55,Non-Working Single,Standard Grade (SVQ Level 1 and 2),5,Foremen and supervisors,£15001 - £20000,10,Rents (including rents paid by housing benefit),No savings,Yes,No,270,Have some financial difficulties,Disabled,NA,Lower supervisory and technical occupations
0,51,Male,6,NA,51-55,Non-Working Single,No Qualifications,9,Inadequately described and not stated,£10001 -£15000,6,Rents (including rents paid by housing benefit),No savings,No,No,300,Have some financial difficulties,Unemployed,NA,Not classified
53000,49,Male,2,1,46-50,Working Couple,Degree and Professional Qualifications (SVQ Level 4),2,Junior non-manual workers,£40001,2,Own it outright,"£1,000 or more",No,No,NA,Get by alright,Full-Time,Self-Employed,Lower managerial and professional occupations
37000,36,Male,2,3,36-40,Working Couple,Highers and A-Levels (SVQ Level 3),1,Intermediate non-manual workers,£40001,2,Buying with mortgage/loan,"£1,000 or more",No,No,580,Manage quite well,Full-Time,Part-Time,Higher managerial and professional occupations
42000,31,Female,2,2,31-35,Working Couple,HNC/HND (SVQ Level 4),2,Intermediate non-manual workers,£40001,2,Buying with mortgage/loan,"£1,000 or more",No,No,460,Get by alright,Full-Time,Full-Time,Lower managerial and professional occupations
0,58,Female,4,NA,56-60,Non-Working Single,No Qualifications,9,Inadequately described and not stated,£15001 - £20000,4,Rents (including rents paid by housing benefit),No savings,Yes,No,260,Get by alright,Homemaker,NA,Not classified
20000,58,Male,1,1,51-55,Working Couple,HNC/HND (SVQ Level 4),4,Employers and managers - small establishments,£20001 - £25000,1,Own it outright,"£1,000 or more",No,No,NA,Manage quite well,Self-Employed,Self-Employed,Small employers and own account workers
62000,55,Female,2,2,56-60,Working Couple,Degree and Professional Qualifications (SVQ Level 4),1,Intermediate non-manual workers,£40001,2,Buying with mortgage/loan,"£1,000 or more",No,No,800,Manage very well,Full-Time,Full-Time,Higher managerial and professional occupations
56000,50,Male,2,1,46-50,Working Couple,NA,1,Professional workers - employees,£40001,2,Buying with mortgage/loan,"£1,000 or more",No,No,500,Manage quite well,Full-Time,Self-Employed,Higher managerial and professional occupations
22000,39,Female,3,1,36-40,Working Couple,Highers and A-Levels (SVQ Level 3),7,Personal service workers,£20001 - £25000,3,Rents (including rents paid by housing benefit),No savings,No,No,460,Get by alright,Part-Time,Self-Employed,Routine occupations
0,56,Male,10,NA,56-60,Non-Working Single,NA,9,Inadequately described and not stated,£6001 - £10000,10,Rents (including rents paid by housing benefit),"£1,000 or more",Yes,No,300,Don't manage very well,Disabled,NA,Not classified
38000,60,Male,2,3,56-60,Working Couple,Standard Grade (SVQ Level 1 and 2),2,Employers and managers - small establishments,£30001 - £40000,2,Own it outright,"£1,000 or more",Yes,No,NA,Manage very well,Full-Time,Part-Time,Lower managerial and professional occupations
0,41,Male,8,NA,41-45,Non-Working Single,Highers and A-Levels (SVQ Level 3),7,Skilled manual workers,£10001 -£15000,8,Rents (including rents paid by housing benefit),No savings,Yes,No,430,Get by alright,Student,NA,Routine occupations
0,38,Male,10,NA,36-40,Non-Working Single,No Qualifications,9,Inadequately described and not stated,£15001 - £20000,10,Rents (including rents paid by housing benefit),No savings,No,No,340,Don't manage very well,Disabled,NA,Not classified
60000,47,Male,2,2,46-50,Working Couple,NA,1,Intermediate non-manual workers,£40001,2,Buying with mortgage/loan,"£1,000 or more",No,No,400,Get by alright,Full-Time,Full-Time,Higher managerial and professional occupations
0,33,Male,2,10,31-35,"Couple, one works",No Qualifications,5,Foremen and supervisors,£10001 -£15000,10,Rents (including rents paid by housing benefit),No savings,No,No,600,Get by alright,Full-Time,Disabled,Lower supervisory and technical occupations
13000,58,Male,2,2,56-60,Working Couple,Highers and A-Levels (SVQ Level 3),5,Skilled manual workers,£10001 -£15000,2,Own it outright,Refusal,No,No,NA,Manage very well,Full-Time,Full-Time,Lower supervisory and technical occupations
28000,58,Male,2,2,51-55,Working Couple,No Qualifications,5,Skilled manual workers,£30001 - £40000,2,Rents (including rents paid by housing benefit),"£1,000 or more",No,No,390,Have some financial difficulties,Full-Time,Full-Time,Lower supervisory and technical occupations
40000,48,Female,2,2,46-50,Working Couple,Degree and Professional Qualifications (SVQ Level 4),2,Intermediate non-manual workers,£30001 - £40000,2,Rents (including rents paid by housing benefit),No savings,Yes,No,400,Have some financial difficulties,Full-Time,Full-Time,Lower managerial and professional occupations
22000,39,Female,2,NA,36-40,Single Working Adult,Degree and Professional Qualifications (SVQ Level 4),2,Intermediate non-manual workers,£25001 - £30000,2,Buying with mortgage/loan,"£1,000 or more",Yes,Yes,400,Get by alright,Full-Time,NA,Lower managerial and professional occupations
39000,40,Female,2,1,36-40,Working Couple,NA,2,Intermediate non-manual workers,£30001 - £40000,2,Buying with mortgage/loan,Refusal,No,No,900,Manage quite well,Full-Time,Self-Employed,Lower managerial and professional occupations
62000,39,Female,2,2,36-40,Working Couple,Degree and Professional Qualifications (SVQ Level 4),1,Professional workers - employees,£40001,2,Buying with mortgage/loan,"£1,000 or more",No,No,800,Manage quite well,Full-Time,Full-Time,Higher managerial and professional occupations
28000,35,Male,2,3,31-35,Working Couple,Degree and Professional Qualifications (SVQ Level 4),3,Intermediate non-manual workers,£25001 - £30000,2,Buying with mortgage/loan,No savings,Yes,No,460,Get by alright,Full-Time,Part-Time,Intermediate occupations
62000,42,Male,2,2,31-35,Working Couple,NA,2,Employers and managers - small establishments,£40001,2,Buying with mortgage/loan,"£1,000 or more",Yes,No,1000,Manage very well,Full-Time,Full-Time,Lower managerial and professional occupations
62000,36,Male,2,2,31-35,Working Couple,Degree and Professional Qualifications (SVQ Level 4),2,Intermediate non-manual workers,£40001,2,Buying with mortgage/loan,"£1,000 or more",No,No,450,Manage very well,Full-Time,Full-Time,Lower managerial and professional occupations
35000,40,Female,2,2,36-40,Working Couple,Highers and A-Levels (SVQ Level 3),5,Semi-skilled manual workers,£30001 - £40000,2,Rents (including rents paid by housing benefit),"£1,000 or more",No,Yes,400,Manage quite well,Full-Time,Full-Time,Lower supervisory and technical occupations
27000,58,Male,2,3,56-60,Working Couple,Standard Grade (SVQ Level 1 and 2),6,Semi-skilled manual workers,£25001 - £30000,2,Rents (including rents paid by housing benefit),No savings,No,No,340,Get by alright,Full-Time,Part-Time,Semi-routine occupations
0,43,Female,10,NA,41-45,Non-Working Single,No Qualifications,9,Inadequately described and not stated,£10001 -£15000,10,Rents (including rents paid by housing benefit),No savings,No,No,330,Are in deep financial trouble,Disabled,NA,Not classified
14000,44,Male,2,NA,41-45,Single Working Adult,Standard Grade (SVQ Level 1 and 2),5,Skilled manual workers,£10001 -£15000,2,Own it outright,Refusal,Yes,No,NA,Get by alright,Full-Time,NA,Lower supervisory and technical occupations
0,62,Female,5,5,61-65,"Couple, neither work",No Qualifications,2,Intermediate non-manual workers,£6001 - £10000,5,Own it outright,"£1,000 or more",No,No,NA,Get by alright,Retired,Retired,Lower managerial and professional occupations
56000,40,Female,2,1,36-40,Working Couple,Degree and Professional Qualifications (SVQ Level 4),1,Professional workers - employees,£40001,2,Buying with mortgage/loan,"£1,000 or more",No,No,610,Manage quite well,Full-Time,Self-Employed,Higher managerial and professional occupations
34000,61,Male,2,3,61-65,Working Couple,Highers and A-Levels (SVQ Level 3),2,Employers and managers - small establishments,£30001 - £40000,2,Buying with mortgage/loan,No savings,No,No,480,Manage quite well,Full-Time,Part-Time,Lower managerial and professional occupations
41000,59,Female,1,2,56-60,Working Couple,Degree and Professional Qualifications (SVQ Level 4),2,Intermediate non-manual workers,£40001,1,Own it outright,"£1,000 or more",No,No,NA,Manage very well,Self-Employed,Full-Time,Lower managerial and professional occupations
16000,54,Male,2,NA,51-55,Single Working Adult,No Qualifications,7,Unskilled manual workers,£15001 - £20000,2,Own it outright,"Less than £1,000",No,No,NA,Get by alright,Full-Time,NA,Routine occupations
0,37,Male,1,4,36-40,"Couple, one works",Standard Grade (SVQ Level 1 and 2),4,Own account workers (other than professional),£10001 -£15000,4,Rents (including rents paid by housing benefit),"Less than £1,000",No,No,390,Manage quite well,Self-Employed,Homemaker,Small employers and own account workers
36000,45,Male,2,3,36-40,Working Couple,Degree and Professional Qualifications (SVQ Level 4),6,Semi-skilled manual workers,£30001 - £40000,3,Buying with mortgage/loan,"Less than £1,000",Yes,Yes,690,Get by alright,Full-Time,Part-Time,Semi-routine occupations
60000,39,Female,2,2,36-40,Working Couple,HNC/HND (SVQ Level 4),2,Intermediate non-manual workers,£40001,2,Buying with mortgage/loan,"Less than £1,000",Yes,Yes,750,Manage quite well,Full-Time,Full-Time,Lower managerial and professional occupations
0,42,Female,6,NA,41-45,Non-Working Single,Highers and A-Levels (SVQ Level 3),1,Intermediate non-manual workers,£0 - £6000,6,Buying with mortgage/loan,"£1,000 or more",No,No,300,Get by alright,Unemployed,NA,Higher managerial and professional occupations
46000,37,Male,2,NA,36-40,Single Working Adult,Highers and A-Levels (SVQ Level 3),5,Skilled manual workers,£40001,2,Buying with mortgage/loan,"£1,000 or more",No,No,850,Manage quite well,Full-Time,NA,Lower supervisory and technical occupations
48000,42,Male,2,3,41-45,Working Couple,Degree and Professional Qualifications (SVQ Level 4),2,Intermediate non-manual workers,£40001,2,Buying with mortgage/loan,"£1,000 or more",Yes,Yes,450,Manage quite well,Full-Time,Part-Time,Lower managerial and professional occupations
23000,40,Female,3,1,36-40,Working Couple,No Qualifications,2,Intermediate non-manual workers,£20001 - £25000,3,Buying with mortgage/loan,"£1,000 or more",Yes,No,500,Manage quite well,Part-Time,Self-Employed,Lower managerial and professional occupations
22000,55,Male,2,NA,51-55,Single Working Adult,Standard Grade (SVQ Level 1 and 2),3,Junior non-manual workers,£20001 - £25000,2,Rents (including rents paid by housing benefit),"£1,000 or more",No,Yes,530,Manage very well,Full-Time,NA,Intermediate occupations
22000,36,Male,2,3,36-40,Working Couple,HNC/HND (SVQ Level 4),2,Intermediate non-manual workers,£25001 - £30000,3,Rents (including rents paid by housing benefit),No savings,No,No,360,Don't manage very well,Full-Time,Part-Time,Lower managerial and professional occupations
9000,21,Male,8,NA,21-25,Non-Working Single,Highers and A-Levels (SVQ Level 3),6,Junior non-manual workers,£10001 -£15000,8,Rents (including rents paid by housing benefit),No savings,No,No,600,Get by alright,Student,NA,Semi-routine occupations
42000,49,Female,2,2,46-50,Working Couple,Standard Grade (SVQ Level 1 and 2),3,Junior non-manual workers,£40001,2,Buying with mortgage/loan,"£1,000 or more",No,No,800,Manage quite well,Full-Time,Full-Time,Intermediate occupations
0,64,Male,5,NA,31-35,Non-Working Single,NA,7,Skilled manual workers,£6001 - £10000,6,Own it outright,No savings,No,No,NA,Get by alright,Retired,NA,Routine occupations
52000,34,Male,2,1,31-35,Working Couple,Degree and Professional Qualifications (SVQ Level 4),5,Skilled manual workers,£40001,1,Buying with mortgage/loan,Refusal,No,No,500,Manage very well,Full-Time,Self-Employed,Lower supervisory and technical occupations
0,60,Male,5,5,56-60,"Couple, neither work",Degree and Professional Qualifications (SVQ Level 4),2,Intermediate non-manual workers,£10001 -£15000,5,Own it outright,"£1,000 or more",Yes,No,NA,Manage quite well,Retired,Retired,Lower managerial and professional occupations
7000,46,Female,3,NA,46-50,Single Working Adult,HNC/HND (SVQ Level 4),7,Skilled manual workers,£15001 - £20000,3,Rents (including rents paid by housing benefit),No savings,No,No,390,Get by alright,Part-Time,NA,Routine occupations
53000,36,Male,2,2,31-35,Working Couple,Degree and Professional Qualifications (SVQ Level 4),2,Junior non-manual workers,£40001,2,Buying with mortgage/loan,"£1,000 or more",No,No,1000,Get by alright,Full-Time,Full-Time,Lower managerial and professional occupations
62000,34,Male,2,2,21-25,Working Couple,Highers and A-Levels (SVQ Level 3),5,Skilled manual workers,£40001,2,Buying with mortgage/loan,"Less than £1,000",Yes,No,500,Manage quite well,Full-Time,Full-Time,Lower supervisory and technical occupations
0,61,Male,5,3,61-65,"Couple, one works",Degree and Professional Qualifications (SVQ Level 4),9,Inadequately described and not stated,£20001 - £25000,3,Own it outright,"£1,000 or more",No,No,NA,Manage very well,Retired,Part-Time,Not classified
25000,38,Male,2,NA,36-40,Single Working Adult,Degree and Professional Qualifications (SVQ Level 4),2,Intermediate non-manual workers,£25001 - £30000,2,Buying with mortgage/loan,"£1,000 or more",Yes,Yes,680,Manage quite well,Full-Time,NA,Lower managerial and professional occupations
30000,52,Male,2,NA,51-55,Single Working Adult,Qualification not known,1,Intermediate non-manual workers,£25001 - £30000,2,Buying with mortgage/loan,No savings,Yes,No,890,Manage very well,Full-Time,NA,Higher managerial and professional occupations
28000,38,Male,2,3,36-40,Working Couple,HNC/HND (SVQ Level 4),6,Skilled manual workers,£25001 - £30000,2,Rents (including rents paid by housing benefit),"Less than £1,000",Yes,No,340,Get by alright,Full-Time,Part-Time,Semi-routine occupations
35000,32,Male,2,2,31-35,Working Couple,Degree and Professional Qualifications (SVQ Level 4),5,Skilled manual workers,£30001 - £40000,2,Rents (including rents paid by housing benefit),No savings,Yes,No,320,Get by alright,Full-Time,Full-Time,Lower supervisory and technical occupations
0,50,Female,13,10,46-50,"Couple, neither work",No Qualifications,9,Inadequately described and not stated,£15001 - £20000,10,Rents (including rents paid by housing benefit),No savings,No,No,330,Don't manage very well,NA,Disabled,Not classified
0,62,Female,6,NA,61-65,Non-Working Single,Highers and A-Levels (SVQ Level 3),9,Inadequately described and not stated,£6001 - £10000,6,Rents (including rents paid by housing benefit),No savings,Yes,No,350,Manage quite well,Unemployed,NA,Not classified
62000,58,Male,1,1,56-60,Working Couple,Degree and Professional Qualifications (SVQ Level 4),2,Intermediate non-manual workers,£40001,1,Own it outright,"£1,000 or more",Yes,No,NA,Manage very well,Self-Employed,Self-Employed,Lower managerial and professional occupations
47000,38,Female,2,2,36-40,Working Couple,No Qualifications,2,Intermediate non-manual workers,£40001,2,Rents (including rents paid by housing benefit),No savings,Yes,No,400,Get by alright,Full-Time,Full-Time,Lower managerial and professional occupations
56000,31,Female,2,2,31-35,Working Couple,Degree and Professional Qualifications (SVQ Level 4),1,Professional workers - employees,£40001,2,Buying with mortgage/loan,"£1,000 or more",No,No,1000,Manage quite well,Full-Time,Full-Time,Higher managerial and professional occupations
0,57,Female,10,NA,56-60,Non-Working Single,Degree and Professional Qualifications (SVQ Level 4),5,Skilled manual workers,£10001 -£15000,10,Buying with mortgage/loan,"£1,000 or more",Yes,No,240,Get by alright,Disabled,NA,Lower supervisory and technical occupations
0,54,Female,4,NA,51-55,Non-Working Single,HNC/HND (SVQ Level 4),9,Inadequately described and not stated,£6001 - £10000,4,Rents (including rents paid by housing benefit),No savings,No,No,450,Get by alright,Homemaker,NA,Not classified
52000,54,Male,2,3,56-60,Working Couple,NA,7,Skilled manual workers,£40001,3,Buying with mortgage/loan,No savings,No,No,260,Manage quite well,Full-Time,Part-Time,Routine occupations
55000,54,Male,2,2,46-50,Working Couple,HNC/HND (SVQ Level 4),4,Own account workers (other than professional),£40001,2,Buying with mortgage/loan,"£1,000 or more",No,No,700,Manage quite well,Full-Time,Full-Time,Small employers and own account workers
24000,42,Female,2,6,41-45,"Couple, one works",Highers and A-Levels (SVQ Level 3),3,Intermediate non-manual workers,£25001 - £30000,2,Rents (including rents paid by housing benefit),"Less than £1,000",Yes,No,440,Get by alright,Full-Time,Unemployed,Intermediate occupations
56000,55,Female,2,2,51-55,Working Couple,Other Qualifications,2,Employers and managers - small establishments,£40001,2,Own it outright,"£1,000 or more",No,No,NA,Get by alright,Full-Time,Full-Time,Lower managerial and professional occupations
0,59,Male,11,NA,56-60,Non-Working Single,Other Qualifications,5,Foremen and supervisors,£10001 -£15000,11,Rents (including rents paid by housing benefit),"£1,000 or more",No,No,300,Get by alright,Short-Term_Disabled,NA,Lower supervisory and technical occupations
6000,47,Male,3,4,36-40,"Couple, one works",Other Qualifications,5,Foremen and supervisors,£6001 - £10000,4,Buying with mortgage/loan,No savings,Yes,No,500,Don't manage very well,Part-Time,Homemaker,Lower supervisory and technical occupations
24000,56,Male,3,5,56-60,"Couple, one works",NA,2,Intermediate non-manual workers,£40001,5,Own it outright,"£1,000 or more",No,No,NA,Manage very well,Part-Time,Retired,Lower managerial and professional occupations
23000,38,Male,2,3,36-40,Working Couple,NA,3,Junior non-manual workers,£25001 - £30000,3,Buying with mortgage/loan,No savings,No,No,350,Get by alright,Full-Time,Part-Time,Intermediate occupations
7000,19,Male,3,NA,16-20,Single Working Adult,Standard Grade (SVQ Level 1 and 2),6,Semi-skilled manual workers,£10001 -£15000,3,Rents (including rents paid by housing benefit),No savings,No,No,380,Get by alright,Part-Time,NA,Semi-routine occupations
34000,31,Female,4,2,31-35,"Couple, one works",NA,9,Inadequately described and not stated,£30001 - £40000,4,Rents (including rents paid by housing benefit),Don't know,No,No,280,Manage quite well,Homemaker,Full-Time,Not classified
0,36,Female,10,NA,36-40,Non-Working Single,No Qualifications,9,Inadequately described and not stated,£6001 - £10000,10,Rents (including rents paid by housing benefit),No savings,No,No,310,Have some financial difficulties,Disabled,NA,Not classified
20000,59,Male,2,NA,56-60,Single Working Adult,Standard Grade (SVQ Level 1 and 2),6,Skilled manual workers,£15001 - £20000,2,Buying with mortgage/loan,"Less than £1,000",Yes,No,370,Manage quite well,Full-Time,NA,Semi-routine occupations
34000,30,Female,2,NA,26-30,Single Working Adult,Degree and Professional Qualifications (SVQ Level 4),2,Intermediate non-manual workers,£30001 - £40000,2,Buying with mortgage/loan,"£1,000 or more",No,No,620,Manage very well,Full-Time,NA,Lower managerial and professional occupations
36000,59,Female,2,NA,56-60,Single Working Adult,Degree and Professional Qualifications (SVQ Level 4),2,Intermediate non-manual workers,£30001 - £40000,2,Own it outright,"£1,000 or more",No,No,NA,Manage very well,Full-Time,NA,Lower managerial and professional occupations
36000,61,Male,2,NA,61-65,Single Working Adult,No Qualifications,2,Employers and managers - small establishments,£30001 - £40000,2,Buying with mortgage/loan,"£1,000 or more",No,No,550,Manage quite well,Full-Time,NA,Lower managerial and professional occupations
41000,53,Female,2,1,51-55,Working Couple,Degree and Professional Qualifications (SVQ Level 4),2,Employers and managers - small establishments,£40001,2,Buying with mortgage/loan,Don't know,Yes,No,940,Manage very well,Full-Time,Self-Employed,Lower managerial and professional occupations
0,60,Male,5,5,56-60,"Couple, neither work",Other Qualifications,9,Inadequately described and not stated,NA,5,Rents (including rents paid by housing benefit),Refusal,No,No,600,Get by alright,Retired,Retired,Not classified
21000,59,Female,2,5,61-65,"Couple, one works",HNC/HND (SVQ Level 4),2,Intermediate non-manual workers,£30001 - £40000,5,Own it outright,"£1,000 or more",Yes,No,NA,Manage quite well,Full-Time,Retired,Lower managerial and professional occupations
35000,55,Male,2,2,51-55,Working Couple,Other Qualifications,2,Intermediate non-manual workers,£30001 - £40000,2,Buying with mortgage/loan,Refusal,No,No,NA,Manage quite well,Full-Time,Full-Time,Lower managerial and professional occupations
